0.01      0.01    0.01    0.01    0.01    0 	0.0806261 	0.00447238 	-0.0167578 	1.31678e-12 	-5.11899e-13 	-1.60562e-13 	2.17804e-13 	9.05851e-14 	1.69562e-13 	5.78942e-09 	-5.23614e-09 	-7.76703e-09 	4.73573e-09 	7.02475e-09 	1.04202e-08
0.01      0.01    0.01    0.01    0.01    0.09 	0.0806261 	0.00447238 	-0.0167578 	1.31678e-12 	-5.11899e-13 	-1.60562e-13 	2.17804e-13 	9.05851e-14 	1.69562e-13 	5.78942e-09 	-5.23614e-09 	-7.76703e-09 	4.73573e-09 	7.02475e-09 	1.04202e-08
0.01      0.01    0.01    0.01    0.01    0.18 	0.0806261 	0.00447238 	-0.0167578 	1.31678e-12 	-5.11899e-13 	-1.60562e-13 	2.17804e-13 	9.05851e-14 	1.69562e-13 	5.78942e-09 	-5.23614e-09 	-7.76703e-09 	4.73573e-09 	7.02475e-09 	1.04202e-08
0.01      0.01    0.01    0.01    0.01    0.27 	0.0678246 	-0.0212597 	0.0208436 	1.09823e-12 	-3.76839e-13 	-1.46167e-13 	3.34988e-13 	5.05363e-14 	1.63255e-13 	5.08615e-10 	1.09796e-09 	-1.18385e-09 	2.37019e-09 	-2.5556e-09 	2.75552e-09
0.01      0.01    0.01    0.01    0.01    0.36 	0.0678246 	-0.0212597 	0.0208436 	1.09823e-12 	-3.76839e-13 	-1.46167e-13 	3.34988e-13 	5.05363e-14 	1.63255e-13 	5.08615e-10 	1.09796e-09 	-1.18385e-09 	2.37019e-09 	-2.5556e-09 	2.75552e-09
0.01      0.01    0.01    0.01    0.01    0.45 	0.0392689 	-0.0243237 	0.0682497 	5.56502e-13 	-2.74713e-13 	-3.22733e-14 	2.23154e-13 	-4.37481e-15 	1.81432e-13 	3.95122e-09 	1.7036e-10 	-2.85636e-09 	7.34519e-12 	-1.23154e-10 	2.06488e-09
0.01      0.01    0.01    0.01    0.01    0.54 	0.0392689 	-0.0243237 	0.0682497 	5.56502e-13 	-2.74713e-13 	-3.22733e-14 	2.23154e-13 	-4.37481e-15 	1.81432e-13 	3.95122e-09 	1.7036e-10 	-2.85636e-09 	7.34519e-12 	-1.23154e-10 	2.06488e-09
0.01      0.01    0.01    0.01    0.01    0.63 	0.0511716 	0.00934897 	0.0169388 	7.84943e-13 	-2.02874e-13 	1.60231e-13 	1.37462e-13 	9.50464e-15 	3.21787e-13 	1.72607e-09 	2.4582e-09 	-1.13168e-10 	3.50087e-09 	-1.61169e-10 	7.41974e-12
0.01      0.01    0.01    0.01    0.01    0.72 	0.0511716 	0.00934897 	0.0169388 	7.84943e-13 	-2.02874e-13 	1.60231e-13 	1.37462e-13 	9.50464e-15 	3.21787e-13 	1.72607e-09 	2.4582e-09 	-1.13168e-10 	3.50087e-09 	-1.61169e-10 	7.41974e-12
0.01      0.01    0.01    0.01    0.01    0.81 	0.0654647 	-0.0237157 	0.017178 	1.02862e-12 	-5.61792e-13 	8.67623e-14 	2.13939e-13 	4.03484e-14 	1.79433e-13 	9.0763e-10 	1.61639e-09 	-1.19636e-09 	2.87863e-09 	-2.13059e-09 	1.57693e-09
0.01      0.01    0.01    0.01    0.01    0.9 	0.0654647 	-0.0237157 	0.017178 	1.02862e-12 	-5.61792e-13 	8.67623e-14 	2.13939e-13 	4.03484e-14 	1.79433e-13 	9.0763e-10 	1.61639e-09 	-1.19636e-09 	2.87863e-09 	-2.13059e-09 	1.57693e-09
